Country,Year,Medal
Algeria,2004,No medal
Hungary,1992,No medal
Hungary,1992,No medal
Hungary,1988,No medal
Hungary,1988,No medal
Hungary,1992,No medal
Hungary,1992,No medal
Hungary,1996,No medal
Armenia,2004,No medal
Nigeria,2000,No medal
Armenia,2016,No medal
Spain,2004,No medal
Spain,2008,No medal
Malta,1980,No medal
Malta,1984,No medal
Malta,1988,No medal
Malta,2004,No medal
South Africa,2000,No medal
Netherlands,2008,Gold
Netherlands,2012,Gold
Benin,1980,No medal
France,2012,No medal
France,2012,Gold
France,2012,Gold
France,2012,Silver
France,2012,No medal
France,2016,No medal
Nigeria,1984,No medal
United States,2000,No medal
Luxembourg,1984,No medal
Portugal,1988,No medal
Portugal,1988,No medal
Portugal,1992,No medal
Australia,1996,No medal
Puerto Rico,1988,No medal
Austria,2008,No medal
Brazil,1984,No medal
Portugal,2016,No medal
Greece,2012,No medal
Cuba,1980,No medal
Tunisia,1996,No medal
Sweden,2012,No medal
Brazil,2004,No medal
Brazil,2008,No medal
Brazil,2012,No medal
Brazil,2016,No medal
Seychelles,2008,No medal
West Germany,1984,No medal
West Germany,1988,No medal
Puerto Rico,1984,No medal
Cyprus,1984,No medal
Dominican Republic,2008,No medal
Venezuela,2016,No medal
Benin,1996,No medal
Benin,1996,No medal
Cuba,1992,No medal
Argentina,1988,No medal
Argentina,2008,Gold
Cuba,2000,Gold
Italy,2008,No medal
Togo,1988,No medal
Spain,1988,No medal
Angola,2000,No medal
Argentina,1984,No medal
Portugal,1996,No medal
Brazil,1992,No medal
Guinea,1980,No medal
Argentina,1988,No medal
Cuba,1992,No medal
Cuba,1996,No medal
Venezuela,2012,No medal
Spain,2008,No medal
